id,VillageName
347,Jamuniya
348,Kedarpur Kalan
349,Kedarpur Khurd
350,Bijhawara
351,Bilanda
352,Salkni
353,Surjana
354,Sarra
355,Khamariya Khurd
356,Ghorawadi
357,Samaswada
358,Mohagaon Bisala
359,Futera
360,Maduwa Khurd
361,Gadhkhapa
362,Hardua Ryt.
363,Hardua Mal.
364,Sitajhir
365,Simariya Kalan
366,Karaboh
367,Sitapar
368,Dungaria
369,Kheri Khurd
370,Mohagaon Khurd
371,Nawegaon Makariya
372,Umariya Somji
373,Amta
374,Muari
375,Madhawani
376,Markahadi
377,Udadon
378,Sihora Bisala
379,Chorgaon
380,Keria
381,Sihora Mal.
382,Jhilmili
383,Banka Nanganpur
384,Palhari
385,Palatwara
386,Paladaun
387,Mohgaon Kalan
388,Khut Pipariya
389,Barelipar Ryt.
390,Barelipar Mal.
391,Tendni
392,Morkha
393,Hasanpur
394,Sidap
395,Giratiya Bisala
396,Giratiya Damani
397,Auriya
398,Hirri
399,Amajhiri
400,Deori Mal.
401,Deori Ryt.
402,Dutmur Mal.
403,Dhutmur Ryt.
404,Karlai
405,Keriya
406,Rajalwadi
407,Khutiya
408,Parsoli
409,Pajra
410,Nandna
411,Loni Khurd
412,Loni Kalan
413,Tighra Bisala
414,Jhiriya
415,Tighra Champat
416,Chikhli Khurd
417,Badiwara
418,Dhimarmeta
419,Chand
420,Gohargaon
421,Moghar
422,Gumgaon Damaghir
423,Khapa Bihari
424,Ghoghri Harhar
425,Kodhar Khapa
426,Mudiya Kheda
427,Bamhnitora Mohgaon
428,Naulajhir
429,Parasgaon Sarra
430,Nilkanthi Kala
431,Nilkanthi Khurd
432,Pathra Jangli Mal.
433,Pathra Jangli Ryt.
434,Nisanjanoji
435,Chorbatri
436,Nawegaon Gond
437,Ragda
438,Dilawar Mohgaon
439,Batri
440,Pakhadiya
441,Kanhar Pipariya
442,Salai Chhindi
443,Khairimata
444,Satoti
445,Chandan Gaon
446,Badgaon
447,Titri
448,Lalgaon
449,Harna Khedi
450,Bhand Pipariya
451,Wikla
452,Khairi Rani
453,Kauwa Kheda
454,Belgaon
455,Bamhni Lala
456,Pachgaon
457,Singodi Tola
458,Dhamniya Ryt.
459,Dhamniya Mal.
460,Dhamniya Bissala
461,Kukarai
