id,city
450,durgapur
451,ronni
452,raruajiwan
453,padri
454,kuthonda
455,surapara
456,khiriya
457,amawali
458,mahonajat
459,husenpura
460,dabhera
461,loch
462,khadaua
463,govindnagar
464,dhimaryau
465,tigroo
466,chitai
467,toda
468,danguchad
469,ramgarha
470,chimghan
471,roora
472,bhadol
473,seoni
474,nandana
475,ramdeva
476,bahera
477,simthara
478,katapur
479,bandapara
480,jiginiya
481,chhenkuri
482,jaitpura
483,bharroli
484,pipra
485,barjorpura
486,teekar
487,syawari
488,mau
489,uchad
490,tiletha
491,kurra
492,khirka
493,silori
494,bharsula
495,bhadona
496,sunari
497,khajoori
498,jujharpur
499,sundarpura
500,dhirpura
501,gohana
502,theli
503,ikona
504,tigra
505,raruarai
506,chhikau
507,khaikheda
508,degawangoojar
509,dhanoli
510,chakdhanoli
511,chakunchiya
512,unchiya
513,murgawan
514,ranipura
515,lodhipura
516,peepri
517,bagpura
518,bagurdan proj
519,bagurdan siddha
520,joura
521,kitana
522,ruhera
523,neemdanda
524,meoli
525,kaserua
526,bhikampura
527,bijora
528,amra
529,gumanpura
530,magrol
531,balampura
532,tuki
533,sad
534,gyara
535,rajapura
536,baghwali
537,dirolipar
538,chanderia
539,bareja chak
540,lokendrapur
541,sitapur
542,chitai
543,nanat
544,khamroli
545,dongarpur
546,pali
547,medpura
548,dangseondha
549,jaswantnagar
550,jara
551,dangkachhar
552,madanpura
553,nandpur
554,daryaopur
555,mahewa
556,maharajpura
557,hetampura
558,sirsa
559,raniyapura
560,deopura
561,kheribhat
562,repoli
563,mubarikpura
564,rampurabuzurg
565,jorital
566,gandhigram
567,basturi
568,dabhni
569,shikarpura
570,dirolidang
571,bisor
572,nahla
573,berchha
574,budhera
575,kunwarpura
576,madikhera
577,atreta
578,basaimalak
579,bahadurpur
580,marsenikhurd
581,bhensai
582,vyaspura
583,sultanpur
584,bhagupura
585,gopalpura
586,rampurakhurd
587,adlispura
588,khanjapura
589,atra
590,debhai
591,itonda
592,vijaypura
593,beerpura
594,jasawali
595,berkheda
596,gora
597,mohanpura
598,teda
599,karila
600,parsondabaman
601,badokhari
602,dharampura
603,rathawali
604,porsakhurd
605,raipurakhurd
606,maliyapura
607,ramnehar
608,marsenibuzurg
609,dhorri
610,dhorra
611,charokhara
612,rubaha
613,roora
614,roor
615,cheena
616,diguwan
617,silotarpura
618,bhowaikhurd
619,alampurkhurd
620,raipurabuzurg
621,ingui
622,bhowaibuzurg
623,bidora
624,sikroli
625,maharoli
626,changpura
627,tharet
628,pahadi
629,basaijeev
630,todapahad
631,ansuli
632,semari
633,malaua
634,puranpura
635,porsa
636,jauri
637,simariya
638,bisae pura
639,mahadua
640,ganesh pura
641,udi
642,baisora
643,nogawan
644,nayagaon
645,bhadraua
646,pura daboh
647,bodar
648,rakhra
649,padri kalan
650,sohan
651,dalpatpura
652,salon bhitari
653,dhound
654,kadura
655,telgaon
656,syora
657,karra
658,ahrora
659,rajpura
660,barka
661,richhoura
662,baghanpura
663,udina
664,kherideo
665,patan govind
666,ahroni
667,bhalka
668,kashipur
669,kamlapuri
670,tedot
671,bhitari
672,hasan pur
673,imaliya
674,tantana
675,hardai
676,dhan pipri
677,intarora
678,tilhera
679,rampura
680,kutauli
681,bisal pura
682,natarra
683,ingui
684,sikri
685,badera sopan
686,pandokhar
687,tor
688,ramner
689,deori khurd
690,saujana
691,khiriya alam
692,gudaha
693,chandani
694,kurgaon
695,ghanshyam pur
696,bindwa
697,bad kachhari
698,sakatpura
699,bilheti
700,touri
701,bhedpura
702,maithana pahuj
703,lahar haveli
704,dhanoti
705,khiriya kadoor
706,pura bilheti
707,mangroli
708,sadka
709,bagdehi
710,simthara
711,dharampura
712,deora
713,barcholi
714,kyolari
715,sukalhari
716,softa
717,chandrol
718,sunri
719,nadiya
720,khiriya gopi
721,singhpura
722,chhachh pura
723,khiriya faijulla
724,chhan
725,godan
726,maithana pali
727,charrai
728,soda
729,semaha
730,sahjora
731,pathara narayan
732,ajitpura
733,bagpura
734,tighra kalan
735,khiriya riyasat
736,madhopura
737,torpatharra
738,bichhreta
739,berachh
740,atari kheda
741,malgujar
742,raipur
743,badera haveli
744,barana
745,dali pura
746,ramgarh
747,sikandarpur
748,hasari bhander
749,tatarpur
750,tukda tori
751,gaddi pur
752,alapur
753,kabulpur
754,chak abdu
755,kanera
756,chak pir khan
757,hansa pur
758,baija para
759,bharroli
760,salon bharroli
761,khiriya jhansi
762,bagda
763,lidhora haveli
764,piprauakhurd
765,dalpatpur
766,kudila
767,benda
768,kulariya
769,bedhari
770,nobai
771,khiriya sahab
772,piprauakalan
773,nichroli
774,pyawal
775,dhamna
776,sarsai
777,astot astot
778,muriya muria
779,kumariya raj
780,mustara
781,sentol
782,saletara
783,kaimara
784,bichhodana
785,kotra
786,gora
787,guliyapura
788,pachokhara
789,badonkalan
790,dangra
791,hinotiya
792,bhilla
793,chirol
794,orina
795,ghughsi
796,hidora
797,sijora
798,khiriya
799,kurthara
800,jonhar
801,karra
802,bhadumra
803,pitsura
804,kamthara
805,chakkabu
806,bhairar
807,pachara
808,govindpur
809,ramsagar
810,jakhoriya
811,ghutari
812,vijaipur
813,richhari
814,murera
815,mahewa
816,rampura dang
817,mudeni
818,sitapur
819,taraua
820,samroli
821,sinawal
822,sewni
823,sunar
824,bhiti
825,erai
826,saipura
827,bargaon
828,raipura
829,bamrol
830,rawari
831,nandpur
832,uprain
833,dabrabag
834,malokpahadi
835,behruka
836,badera
837,banoli
838,baroy
839,dongarpur
840,lidhora
841,mahua
842,gada
843,pahodi
844,budheda
845,chitupura
846,gadhi
847,sirol
848,jhadiya
849,richhara
850,govindnagar
851,ramnagar
852,chakramsagar
853,nichroli
854,chopra
855,agora
856,durgapur
857,anjani
858,kalipahad
859,bajni
860,chituwa
861,rawatpura
862,gandhari
863,lamaycha
864,larayta
865,phulra
866,kalapahad
867,pagra
868,hamirpura
869,dimankikund
870,dagurai
871,makoni
872,khaitola
873,khairi
874,rajapur
875,maharajpura
876,chakbahadurpur
877,niraval
878,bhawanipur
879,bidaniya
880,bahadurpur
881,reda
882,kumhedi
883,kevlari
884,raduapura
885,kalipura
886,letra
887,sindhwari
888,semai
889,akola
890,nayagaon
891,suketa
892,raon
893,chiroli
894,radhapur
895,bhitora
896,chakchandewa
897,syari
898,ikara
899,janakpur
900,dhawari
901,govindgarh
902,dabribhat
903,pathra
904,aser
905,bhadevara
906,sadwara
907,penta
908,mohanpur
909,kakarua
910,imaliya
911,bikar
912,khireyaghoghu
913,mawai
914,sabdalpur
915,badanpur
916,buhara
917,gadri
918,rajora
919,devpura
920,kuretha
921,deguwanchamar
922,bhoy
923,chakora
924,danda
925,palinoor
926,guda
927,kalyanpurabujurg
928,khiriyakhodas
929,nadai
930,kumharra
931,sujed
932,dubah
933,charbara
934,mangalpur
935,karkhara
936,dursara
937,dera
938,diswar
939,malkhanpur
940,baswaha
941,daryapur
942,kuakheda
943,sasuti
944,bhula
945,bijanpura
946,kusauli
947,khiriyakabir
948,sikaua
949,devra
950,richhar
951,dabardona
952,gulmau
953,khiriyanai
954,kalyanpurakhurd
955,kamad
956,simariya
957,kumhariyachhewlari
958,nargarh
959,targuwan
960,unao
961,gujarra
962,ghislani
963,jhalmau
964,parasari
965,sersa
966,lalauwa
967,gharawa
968,taga
969,nareta
970,chirula
971,bilhar
972,kararikhurd
973,kamrari
974,banvas
975,pakhra
976,sihuli
977,johariya
978,katili
979,ganeshkheda
980,hatlav
981,kakoda
982,jaitpur
983,bardhuwan
984,sankuli
985,nayakheda
986,kandhari
987,urdana
988,parakheda
989,mudra
990,gudariya
991,janakpur
992,manikpur
993,makdari
994,maharajpura
995,satlon
996,himmatpura
997,thakurpura
998,hasanpur
999,lakhanpur
1000,sitapur
1001,basai
1002,hirapur
1003,devgarh
1004,sanora
1005,barodi
1006,rajpur
1007,samawali
1008,madguwan
1009,panuha
1010,khadrawani
1011,biloni
1012,nauner
1013,rew
1014,raipur sani
1015,kamhar
1016,pathari
1017,hatlai
1018,taka khurd
1019,chhata
1020,palipamari
1021,satari
1022,jighna
1023,chirai
1024,tiwari ka kua
1025,dang karera
1026,salaiya pamar
1027,palothar
1028,udgawan
1029,bhagour
1030,pisnari
1031,khamera
1032,bagedhari sani
1033,dhankari
1034,neguwan sani
1035,kharag
1036,garera
1037,nunwaha
1038,kudraya
1039,senthri
1040,parsondagoojar
1041,kheridevta
1042,fatepur
1043,nimona
1044,kherona
1045,kudra
1046,basith
1047,chadhraua
1048,pachorakhurd
1049,kudari
1050,laharawed
1051,birsingpura
1052,seguwan
1053,jaroli
1054,chapra
1055,kanjoli
1056,pacherabuzurg
1057,barabuzurg
1058,chakkbena
1059,binori
1060,baina
1061,jonia
1062,kulenth
1063,kheronaghat
1064,bilaspur
1065,jaswantpura
1066,andora
1067,pachokhara
1068,pahadishyam
1069,barguwan
1070,dohar
1071,kherichachu
1072,piparua
1073,jaswantpur
1074,pahadirawat
1075,laharakalan
1076,itarora
1077,sikari
1078,anandpur
1079,badehari
1080,delua
1081,durgapur
1082,ronni
1083,raruajiwan
1084,padri
1085,kuthonda
1086,surapara
1087,khiriya
1088,amawali
1089,mahonajat
1090,husenpura
1091,dabhera
1092,loch
1093,khadaua
1094,govindnagar
1095,dhimaryau
1096,tigroo
1097,chitai
1098,toda
1099,danguchad
1100,ramgarha
1101,chimghan
1102,roora
1103,bhadol
1104,seoni
1105,nandana
1106,ramdeva
1107,bahera
1108,simthara
1109,katapur
1110,bandapara
1111,jiginiya
1112,chhenkuri
1113,jaitpura
1114,bharroli
1115,pipra
1116,barjorpura
1117,teekar
1118,syawari
1119,mau
1120,uchad
1121,tiletha
1122,kurra
1123,khirka
1124,silori
1125,bharsula
1126,bhadona
1127,sunari
