,id,id_,score
776113,614,1245,1.0
774850,613,1244,1.0
774708,613,1102,1.0
784385,621,683,1.0
784954,621,1252,1.0
786217,622,1253,1.0
796321,630,1261,1.0
795058,629,1260,1.0
793795,628,1259,1.0
792532,627,1258,1.0
791269,626,1257,1.0
790006,625,1256,1.0
788743,624,1255,1.0
787480,623,1254,1.0
773587,612,1243,1.0
759804,602,80,1.0
759694,601,1232,1.0
758431,600,1231,1.0
757168,599,1230,1.0
755905,598,1229,1.0
754642,597,1228,1.0
753379,596,1227,1.0
752938,596,786,1.0
752307,596,155,1.0
752116,595,1226,1.0
750853,594,1225,1.0
760435,602,711,1.0
760957,602,1233,1.0
772324,611,1242,1.0
771061,610,1241,1.0
769798,609,1240,1.0
768535,608,1239,1.0
767272,607,1238,1.0
766009,606,1237,1.0
764746,605,1236,1.0
763483,604,1235,1.0
762220,603,1234,1.0
700594,555,184,1.0
602053,477,79,1.0
633394,501,1132,1.0
638446,505,1136,1.0
637183,504,1135,1.0
635920,503,1134,1.0
634657,502,1133,1.0
632131,500,1131,1.0
630868,499,1130,1.0
629605,498,1129,1.0
628342,497,1128,1.0
639709,506,1137,1.0
640972,507,1138,1.0
651076,515,1146,1.0
649813,514,1145,1.0
648550,513,1144,1.0
647287,512,1143,1.0
646024,511,1142,1.0
644761,510,1141,1.0
643498,509,1140,1.0
642235,508,1139,1.0
627079,496,1127,1.0
625816,495,1126,1.0
652556,517,102,1.0
610660,483,1114,1.0
610305,483,759,1.0
609674,483,128,1.0
609397,482,1113,1.0
608134,481,1112,1.0
606871,480,1111,1.0
605608,479,1110,1.0
604345,478,1109,1.0
603082,477,1108,1.0
602684,477,710,1.0
611923,484,1115,1.0
613186,485,1116,1.0
624553,494,1125,1.0
623290,493,1124,1.0
622027,492,1123,1.0
620764,491,1122,1.0
619501,490,1121,1.0
618238,489,1120,1.0
616975,488,1119,1.0
615712,487,1118,1.0
614449,486,1117,1.0
652339,516,1147,1.0
699070,553,1184,1.0
683914,541,1172,1.0
687703,544,1175,1.0
686440,543,1174,1.0
685177,542,1173,1.0
685101,542,1097,1.0
683742,541,1000,1.0
683560,541,818,1.0
682929,541,187,1.0
682651,540,1171,1.0
681388,539,1170,1.0
687998,545,208,1.0
688629,545,839,1.0
688966,545,1176,1.0
698717,553,831,1.0
698086,553,200,1.0
697807,552,1183,1.0
696544,551,1182,1.0
695281,550,1181,1.0
694018,549,1180,1.0
692755,548,1179,1.0
691492,547,1178,1.0
690229,546,1177,1.0
680125,538,1169,1.0
678862,537,1168,1.0
653187,517,733,1.0
663706,525,1156,1.0
662443,524,1155,1.0
661180,523,1154,1.0
659917,522,1153,1.0
658654,521,1152,1.0
657391,520,1151,1.0
656128,519,1150,1.0
654865,518,1149,1.0
653602,517,1148,1.0
664969,526,1157,1.0
666232,527,1158,1.0
677599,536,1167,1.0
676336,535,1166,1.0
675073,534,1165,1.0
673810,533,1164,1.0
672547,532,1163,1.0
671284,531,1162,1.0
670021,530,1161,1.0
668758,529,1160,1.0
667495,528,1159,1.0
3157,2,633,1.0
134509,106,737,1.0
139561,110,741,1.0
138298,109,740,1.0
137035,108,739,1.0
135772,107,738,1.0
133246,105,736,1.0
131983,104,735,1.0
130720,103,734,1.0
129872,102,1148,1.0
129457,102,733,1.0
140824,111,742,1.0
142087,112,743,1.0
152191,120,751,1.0
150928,119,750,1.0
149665,118,749,1.0
148402,117,748,1.0
147139,116,747,1.0
145876,115,746,1.0
